,City,Latitude,Temperature,Cloudiness,Windspeed,Humidity
0,Saryg-Sep,51.49,59.91,20,3.15,80
1,Klaksvik,62.23,50.0,44,9.17,100
2,Jinxiang,35.07,95.91,0,6.4,72
3,Kavieng,-2.57,80.92,48,3.38,100
4,Auki,12.18,68.59,76,4.94,96
5,Rikitea,-23.12,75.61,56,4.16,98
6,Richards Bay,-28.77,55.77,0,7.29,85
7,Yellowknife,62.45,64.4,90,3.36,82
8,Butaritari,3.07,79.53,64,3.49,100
9,Georgetown,6.8,75.2,40,4.7,94
10,Bredasdorp,-34.53,44.6,56,10.29,81
11,Hainburg,50.07,65.32,0,1.12,72
12,Hellvik,59.92,53.16,92,2.15,100
13,Ambilobe,-13.19,59.19,0,4.94,86
14,Punta Arenas,-53.16,33.8,90,3.36,100
15,Saskylakh,71.97,65.26,0,8.97,72
16,Ambon,47.55,68.0,0,4.7,77
17,Jamestown,-33.21,47.44,88,15.46,98
18,Nikolskoye,59.7,57.2,75,8.95,87
19,Luanda,-8.83,68.0,75,4.7,94
20,Chake Chake,-5.25,76.47,92,11.99,100
21,Cidreira,-30.17,46.81,0,6.06,86
22,Maragogi,-9.01,73.68,68,8.3,94
23,Vaini,15.34,69.72,92,9.19,99
24,Ribeira Grande,38.52,70.39,0,8.08,100
25,Natitingou,10.31,68.0,75,2.24,100
26,Khatanga,71.98,51.0,8,9.64,97
27,Port Elizabeth,39.31,78.24,1,10.98,94
28,Mareeba,-16.99,80.6,40,10.29,69
29,Buka,40.82,82.4,0,4.7,37
30,Hobart,-42.88,53.6,20,17.22,46
31,Chern,53.45,63.15,0,8.08,75
32,Santa Maria,-29.69,46.4,0,3.36,100
33,Kapaa,22.08,83.5,90,16.11,78
34,Mataura,-46.19,44.25,100,3.94,82
35,Grand Gaube,-20.01,71.6,75,11.41,53
36,Ostrovnoy,68.05,45.87,20,13.22,88
37,Hermanus,-34.42,43.35,68,8.19,98
38,Saint-Pierre,48.95,67.01,0,6.93,52
39,Lebu,8.96,55.4,75,2.24,100
40,Dikson,73.51,47.31,32,19.6,82
41,Benguela,-12.58,63.91,8,3.6,100
42,Hilo,19.71,77.63,75,9.17,69
43,Santa Lucia,39.93,75.2,0,6.93,88
44,Ushuaia,-54.81,32.0,90,11.41,100
45,Puerto Ayora,-0.74,69.9,88,13.33,100
46,Cape Town,-33.93,48.2,75,3.36,81
47,Pozo Colorado,-23.49,59.37,0,9.19,92
48,Bambous Virieux,-20.34,71.6,75,11.41,53
49,Kavaratti,10.57,81.96,76,24.29,98
50,Carnarvon,-30.97,31.38,36,11.1,94
51,Saldanha,41.42,60.81,8,6.17,54
52,Limbazi,57.51,62.25,48,8.52,66
53,Cairns,-16.92,80.6,40,10.29,69
54,Geraldton,49.72,51.8,90,3.36,93
55,Severodvinsk,64.56,50.0,40,6.71,100
56,Kautokeino,69.01,40.87,8,4.61,82
57,Buala,-8.15,84.12,8,4.83,78
58,Bluff,-23.58,68.73,80,12.21,22
59,Ilulissat,69.22,44.6,92,1.12,70
60,Saint-Philippe,45.36,72.97,90,8.05,88
61,Narsaq,60.91,46.4,0,3.36,65
62,Aleksandrovskoye,56.74,60.76,0,4.16,68
63,Kollam,8.88,78.8,75,4.7,88
64,Mustasaari,63.17,48.2,88,2.24,100
65,Thompson,55.74,60.8,75,5.82,93
66,Codrington,-28.95,63.15,0,8.19,48
67,Cabo San Lucas,22.89,82.4,5,14.99,69
68,Lompoc,34.64,68.97,1,12.75,63
69,Albany,42.65,75.99,20,4.7,65
70,Pevek,69.7,41.41,24,12.88,100
71,Barrow,-38.31,60.27,88,18.7,50
72,Mayo,63.59,64.4,75,8.05,63
73,Guerrero Negro,27.97,75.93,0,7.52,70
74,Provideniya,64.42,48.2,90,4.47,87
75,Marica,-22.92,65.26,75,3.36,93
76,Arraial do Cabo,-22.97,65.76,92,8.08,100
77,Silleda,42.7,62.67,75,3.36,100
78,Busselton,-33.64,62.16,8,15.79,96
79,Nemuro,43.32,57.2,75,4.7,76
80,Isangel,-19.55,72.24,0,9.64,100
81,Kipushi,-11.76,48.66,0,3.27,69
82,Waipawa,-39.94,57.79,8,6.96,86
83,Lakes Entrance,-37.88,54.37,44,19.04,67
84,Nanortalik,60.14,40.69,0,9.75,97
85,Mehamn,71.03,46.72,92,16.8,100
86,Tasiilaq,65.61,41.0,68,6.93,80
87,Port Moresby,-9.47,84.2,40,11.41,83
88,Port-Cartier,50.03,62.6,90,2.24,100
89,Alofi,-19.06,77.0,40,14.99,61
90,Margate,-43.03,53.6,20,17.22,46
91,Hambantota,6.12,83.17,12,18.14,88
92,Hithadhoo,-0.6,79.21,36,9.64,100
93,Pangnirtung,66.15,41.19,92,4.27,96
94,Dwarka,28.58,79.39,8,4.61,97
95,Khandyga,62.65,62.7,24,3.04,84
96,Talnakh,69.49,50.64,68,8.08,83
97,Port Alfred,-33.59,56.76,0,15.79,91
98,Champerico,16.38,73.4,75,2.37,73
99,Muravlenko,63.79,58.83,92,15.23,85
100,San Carlos de Bariloche,-41.13,39.2,75,6.93,93
101,Davila,18.47,87.8,75,4.7,66
102,Castro,-42.48,41.01,36,5.61,100
103,Phonhong,18.5,82.4,75,2.24,83
104,Huron,44.36,68.31,90,8.05,82
105,Mitsamiouli,-11.38,68.0,20,5.82,88
106,Voh,-20.95,73.68,0,3.6,90
107,Port Pirie,-33.18,59.0,90,11.41,54
108,Kapuskasing,49.42,53.6,90,6.93,93
109,Chokurdakh,70.62,43.35,0,9.19,91
110,Great Bend,38.36,77.54,1,8.05,65
111,Abu Samrah,35.3,68.37,0,9.42,96
112,Alvin,29.42,82.17,1,3.36,88
113,Te Anau,-45.41,47.49,48,11.65,73
114,Ponta do Sol,-20.63,57.84,68,2.93,95
115,Ust-Tsilma,65.44,54.24,92,4.16,98
116,Mahebourg,-20.41,71.6,75,11.41,53
117,Coquimbo,-29.95,53.6,90,3.36,87
118,Necochea,-38.55,55.95,80,16.8,70
119,Leningradskiy,69.38,35.07,20,9.42,100
120,Cockburn Town,21.46,82.23,20,19.71,99
121,Filingue,14.35,70.62,88,6.96,96
122,New Norfolk,-42.78,53.6,20,17.22,46
123,Iqaluit,63.75,42.8,90,5.82,100
124,Svetlogorsk,53.14,71.6,24,4.47,64
125,Torbay,47.66,57.2,90,8.05,93
126,La Ronge,55.1,66.2,90,4.7,82
127,Koster,-25.86,49.96,44,3.83,30
128,Aykhal,65.95,62.25,76,4.83,53
129,Atuona,-9.8,79.89,64,19.04,99
130,Port Hardy,50.7,59.0,20,6.93,82
131,Lichinga,-13.3,57.2,0,5.82,71
132,Faanui,-16.48,80.11,0,12.77,100
133,Mangai,-4.07,73.41,0,4.38,85
134,Mazagao,-0.12,77.0,40,3.36,100
135,Kalmunai,7.42,84.52,20,4.72,66
136,Keetmanshoop,-26.57,32.28,0,7.29,83
137,Mindelo,41.31,65.37,90,11.41,93
138,Ulundi,-28.29,54.64,0,9.19,28
139,Warrenton,-28.11,36.78,0,7.63,64
140,Senanga,-16.1,56.71,0,5.73,56
141,Road Town,18.42,82.4,1,8.05,78
142,Avarua,-21.21,78.8,75,19.46,83
143,Bethel,60.79,57.2,90,10.29,93
144,Egvekinot,66.32,50.41,80,2.04,78
145,Manakara,-22.14,65.17,0,9.08,100
146,Qaanaaq,77.48,39.21,76,13.22,85
147,Bayan,47.25,64.36,12,6.06,86
148,Banda Aceh,5.56,85.06,0,6.29,66
149,Waitati,-45.75,49.47,56,5.95,81
150,Ginir,7.14,56.44,0,8.08,85
151,Rundu,-17.91,57.03,0,3.94,50
152,Shiyan,32.65,81.64,76,2.59,86
153,Norman Wells,65.28,60.8,75,10.29,63
154,Limbang,4.75,84.15,75,4.7,62
155,San Vicente,13.64,69.8,40,4.7,100
156,Dawlatabad,36.41,81.87,0,6.17,36
157,Sorong,-0.86,80.29,92,13.33,100
158,Tuatapere,-46.13,52.84,44,17.36,87
159,Puerto Cabezas,14.04,77.86,76,7.96,100
160,Port Macquarie,-31.43,66.2,0,16.11,24
161,Meulaboh,4.14,79.53,8,1.92,100
162,Lubango,-14.92,53.74,0,1.81,88
163,Cherskiy,68.75,50.28,64,6.85,58
164,Peski,59.94,57.2,75,8.95,87
165,Iralaya,15.0,80.88,92,10.42,89
166,Seoul,37.57,90.01,40,5.82,55
167,Sept-Iles,50.2,62.6,90,2.24,100
168,Mucuri,-18.08,70.39,76,4.94,98
169,Saint-Joseph,43.56,72.77,0,3.36,77
170,Homer,59.64,62.69,90,3.36,87
171,Brawley,32.98,103.87,1,9.17,24
172,Nome,30.04,79.23,1,5.17,88
173,Yulara,-25.24,59.0,0,4.7,28
174,North Bend,43.41,59.76,90,13.87,87
175,Ginda,30.69,62.52,64,1.59,100
176,College,64.86,57.4,90,3.36,93
177,Dingle,11.0,74.44,92,9.98,100
178,Nouakchott,18.08,76.51,8,12.44,100
179,Havelock,34.88,79.16,1,5.82,100
180,Nisia Floresta,-6.09,75.2,20,8.05,83
181,Axim,4.87,76.42,44,12.88,100
182,Kodiak,39.95,69.8,1,5.28,94
183,Bonavista,48.65,58.83,88,13.22,96
184,Chimoio,-19.11,53.6,0,4.7,87
185,Dabakala,8.36,73.32,36,5.06,85
186,Labuhan,-2.54,83.04,0,3.6,75
187,Kurchatov,50.75,67.06,44,6.29,56
188,Mattru,7.62,72.78,80,2.71,98
189,Sao Paulo de Olivenca,-3.38,72.01,36,1.92,98
190,Luganville,-15.51,75.21,36,10.31,100
191,Ust-Ilimsk,57.96,59.73,56,3.6,56
192,Namwala,-15.75,51.9,0,5.06,75
193,Chuy,-33.69,49.02,0,11.99,92
194,Esperance,10.24,78.8,20,5.82,88
195,Andreapol,56.65,60.45,92,7.63,87
196,Marshall,39.39,79.18,1,5.82,83
197,Huarmey,-10.07,53.7,0,3.71,89
198,Husavik,50.56,60.54,0,5.17,84
199,Buluang,10.47,84.2,90,16.11,74
200,Baripada,21.93,79.84,68,6.17,100
201,Griffith,-34.29,52.26,76,14.0,74
202,Pangody,65.85,59.64,80,17.47,66
203,Pundaguitan,6.37,85.02,56,12.77,95
204,Tuktoyaktuk,69.44,44.6,90,6.93,81
205,Hazorasp,41.32,75.2,0,9.17,60
206,Constantine,36.36,62.6,40,2.24,93
207,Lorengau,-2.02,80.74,80,6.17,100
208,Udachnyy,66.42,63.69,36,3.38,55
209,Mar del Plata,-46.43,42.45,92,0.25,98
210,Kaitangata,-46.28,53.52,24,8.86,75
211,Along,28.17,81.37,8,2.15,76
212,Mayumba,-3.44,69.31,88,3.38,96
213,Villa Carlos Paz,-31.42,57.2,0,11.41,71
214,Sur,22.57,87.04,80,6.4,79
215,Hasaki,35.73,73.4,75,17.22,94
216,Hudson Bay,52.86,69.45,0,4.83,64
217,Bilibino,68.06,60.45,24,4.27,47
218,Tiznit,29.7,68.14,0,1.81,96
219,Aswan,24.09,87.8,0,9.17,29
220,Kingaroy,-26.54,60.18,80,15.35,46
221,Novobirilyussy,56.95,60.94,0,5.17,65
222,Kupang,-10.16,89.6,20,17.22,38
223,Qaqortoq,60.72,46.4,0,3.36,65
224,Osoyoos,49.03,85.28,40,3.36,42
225,Antofagasta,-23.65,55.4,90,4.7,76
226,Wamba,2.14,68.59,88,2.59,98
227,Payo,-3.75,81.64,24,5.61,74
228,Dano,11.14,76.24,92,9.86,88
229,Ushtobe,45.25,83.22,8,4.27,30
230,Xifeng,42.73,71.74,92,3.94,100
231,Kenai,60.55,61.72,90,16.11,82
232,Vila,45.18,68.88,40,9.17,83
233,Bilma,18.69,83.58,32,9.98,50
234,Dalby,-27.18,64.4,0,21.92,20
235,Tiksi,71.64,50.19,8,14.67,78
236,Agadez,16.97,75.39,12,8.3,82
237,Rankovce,48.81,64.22,0,6.93,72
238,Kindu,-2.95,73.59,56,3.6,77
239,Saint George,39.45,69.8,0,5.82,60
240,Kinsale,51.71,55.4,75,4.7,87
241,Tirunelveli,8.73,78.49,68,10.2,67
242,Victoria,5.28,85.14,75,3.36,78
243,Kahului,20.89,80.46,20,26.4,66
244,Nizwa,22.93,81.01,20,1.59,27
245,Fortuna,38.18,76.1,0,2.24,83
246,Mugumu,-1.84,56.89,0,4.16,83
247,Jalu,29.03,81.01,0,10.2,41
248,Berlevag,70.86,46.5,92,17.02,100
249,Saint Anthony,43.97,66.04,1,2.59,40
250,Upernavik,72.79,41.86,92,32.79,87
251,Bastia,44.6,80.6,0,8.05,61
252,Plettenberg Bay,-34.05,53.61,92,28.77,100
253,Lages,-27.82,41.01,0,6.4,85
254,Lima,-12.06,55.32,8,1.59,87
255,Naldurg,17.82,73.59,88,12.1,89
256,Hamilton,32.3,80.6,20,5.82,74
257,Severo-Kurilsk,50.68,57.93,32,0.92,87
258,Aitape,-3.15,83.58,8,3.15,91
259,Naze,5.43,69.49,68,5.17,96
260,Kiruna,67.86,46.4,68,4.7,87
261,Jodiya,22.69,81.24,92,19.48,96
262,Aasiaat,68.71,47.13,92,15.12,83
263,Spirovo,57.42,59.32,32,8.41,80
264,Kutum,14.2,62.88,44,3.71,96
265,Camacha,33.08,71.6,75,16.11,78
266,Odessa,31.85,86.04,1,10.29,37
267,Kaniama,-7.57,60.45,0,2.48,67
268,Isla Vista,34.41,71.98,1,15.9,73
269,Orbe,46.72,63.16,75,2.24,88
270,East London,-33.02,53.6,0,9.17,46
271,Qasigiannguit,68.82,44.6,92,1.12,70
272,Tortoli,39.93,75.2,0,6.93,88
273,Clyde River,70.47,42.8,1,9.17,75
274,Tyrma,50.04,74.58,44,3.38,67
275,Barcelos,41.53,65.37,90,11.41,93
276,Tiruchchendur,8.48,82.36,24,12.55,69
277,Rawson,-43.3,56.13,92,9.98,58
278,Jijiga,9.35,61.35,0,9.19,67
279,Chifeng,42.27,67.96,100,3.6,93
280,Saint-Augustin,44.83,70.21,0,5.82,60
281,San Policarpo,12.18,82.99,100,19.15,93
282,Ahipara,-35.17,59.14,0,4.94,87
283,Sergeyevka,53.88,71.34,8,4.61,78
284,Faya,18.39,66.2,40,3.36,88
285,Cap Malheureux,-19.98,71.6,75,11.41,53
286,Bam,29.11,81.91,0,11.77,26
287,Namibe,-15.19,63.64,0,13.33,100
288,Onguday,50.75,63.37,12,2.15,53
289,Hanyang,32.14,79.17,24,1.14,89
290,Zamberk,50.09,57.2,0,3.94,76
291,Mackay,53.65,71.58,75,4.7,46
292,De Aar,-30.65,28.77,0,7.29,84
293,Haines Junction,60.75,58.38,88,4.5,57
294,Johnson City,36.31,68.45,24,4.7,88
295,Edinburg,26.3,82.81,1,8.05,70
296,Phichit,16.44,82.4,40,6.93,78
297,Ballina,54.11,51.72,76,7.74,100
298,Lukulu,-14.38,52.21,0,4.27,56
299,Sindor,62.87,60.04,32,6.06,94
300,Airai,-8.93,83.17,0,1.81,44
301,Birao,10.3,70.17,44,4.16,90
302,Nara,34.68,90.01,20,10.29,52
303,Bathurst,-33.42,38.62,76,7.52,95
304,Chicama,-7.84,62.6,90,8.05,88
305,Olavarria,-36.89,58.06,88,16.69,48
306,Aklavik,68.22,51.8,90,2.24,71
307,Yarmouth,50.71,59.23,0,3.36,82
308,Gimli,50.63,60.54,0,5.17,84
309,Shelburne,44.08,73.4,90,4.7,78
310,Araripina,-7.58,71.02,0,11.43,53
311,Sechura,-5.56,67.38,0,12.77,86
312,San Luis Obispo,35.28,71.13,1,5.82,49
313,Awbari,26.59,81.19,8,5.95,17
314,Omsukchan,62.53,51.99,92,2.93,100
315,Lianran,24.92,68.0,75,4.47,77
316,Villeneuve-sur-Lot,44.41,68.14,0,5.82,82
317,Kuytun,54.34,56.62,56,2.15,82
318,Aquiraz,-3.9,78.8,40,8.05,83
319,Tarakan,3.3,84.52,76,6.62,86
320,Tigil,57.8,67.06,36,4.5,75
321,Bajos de Haina,18.41,78.8,20,5.82,88
322,Caravelas,-17.73,75.39,92,12.33,100
323,Maracaibo,3.41,73.4,75,6.93,78
324,Rayachoti,14.06,84.2,75,16.11,66
325,Beaufort,5.36,84.65,75,6.93,62
326,Goderich,43.74,69.45,0,12.66,91
327,Tromso,69.65,46.4,90,4.7,87
328,Sao Filipe,14.9,76.24,92,12.44,100
329,Acapulco,16.86,82.4,75,3.36,78
330,Westerville,40.13,76.64,1,8.05,78
331,Khislavichi,54.19,62.25,20,9.64,86
332,Kingsville,39.45,79.2,1,4.7,94
333,Portland,45.52,81.68,75,11.41,45
334,Naron,43.52,64.4,92,11.41,93
335,Manokwari,-0.87,79.62,20,6.4,100
336,Son La,21.32,74.76,76,0.81,92
337,Penarroya-Pueblonuevo,38.3,78.8,32,4.7,44
338,Naples,26.14,81.77,20,5.82,69
339,Gushikawa,26.35,88.3,1,10.29,66
340,Maniitsoq,65.42,48.39,48,11.88,71
341,Santa Cruz,36.97,71.42,1,5.82,72
342,Mezen,65.85,51.22,92,5.95,85
343,Pimentel,-3.7,75.3,0,5.28,88
344,Bandarbeyla,9.49,78.54,0,27.54,91
345,Severo-Yeniseyskiy,60.37,51.94,64,3.27,87
346,Petropavlovsk-Kamchatskiy,53.05,68.0,40,13.42,72
347,Kloulklubed,7.04,86.0,75,12.75,74
348,Kruisfontein,-34.0,53.29,44,23.62,92
349,Roldanillo,4.41,68.95,40,1.59,88
350,Kokopo,-4.34,78.63,80,6.29,100
351,Baykit,61.68,50.77,56,4.72,83
352,Praia da Vitoria,38.73,69.8,75,5.95,77
353,Avera,33.19,75.22,75,5.82,94
354,Hokitika,-42.72,51.99,100,11.77,100
355,Sabang,13.72,81.01,92,15.68,93
356,Grand Island,40.92,68.41,75,8.41,94
357,Bonthe,7.53,74.44,100,3.38,100
358,Haines City,28.11,80.62,1,8.05,78
359,Banamba,13.55,75.3,88,9.19,92
360,Mayahi,13.95,71.02,88,8.19,98
361,High Level,58.52,73.4,75,3.36,49
362,Gayeri,12.65,68.86,92,4.72,100
363,Niltepec,16.57,74.04,64,10.65,94
364,Itororo,-15.12,67.47,80,3.38,94
365,Moctezuma,29.81,82.23,20,1.7,53
366,Darhan,49.49,68.55,0,4.27,74
367,Pochutla,15.74,81.64,8,6.73,100
368,Mabaruma,8.2,78.09,0,5.61,95
369,Sao Miguel do Araguaia,-13.28,69.09,20,2.71,85
370,Okha,53.59,65.26,20,4.27,93
371,Calvinia,-31.47,40.2,80,11.54,88
372,Natal,-5.81,75.2,20,8.05,83
373,Vila Velha,-3.71,78.8,40,11.41,83
374,Mount Isa,-20.73,68.0,0,12.75,15
375,Coihaique,-45.58,30.2,80,2.24,100
376,Vicente Guerrero,16.93,59.01,12,2.15,90
377,Killybegs,54.63,54.82,80,11.43,100
378,Casa Nova,-11.77,67.06,56,5.17,92
379,Villa Bruzual,9.33,73.27,80,1.36,93
380,A Coruna,43.37,62.37,92,11.41,93
381,La Asuncion,-1.64,41.55,48,1.14,95
382,Dodge City,37.75,79.83,20,9.17,47
383,Santa Cruz Cabralia,-16.28,73.4,75,3.36,88
384,Many,49.0,70.27,0,3.36,64
385,Mengcheng,33.26,93.79,8,4.61,78
386,Mhlume,-26.03,57.2,0,17.22,100
387,Hobyo,5.35,74.31,36,15.79,74
388,Souillac,45.6,71.78,0,3.38,68
389,Lavrentiya,65.58,44.74,36,4.72,100
390,Kirkland Lake,48.15,62.6,75,8.05,100
391,Nizhniy Tsasuchey,50.52,69.72,8,12.55,80
392,Pontes e Lacerda,-15.23,64.54,24,4.05,94
393,Kibre Mengist,5.87,53.34,24,2.26,93
394,Atar,20.52,82.95,0,7.4,48
395,Athabasca,54.72,69.72,68,8.41,59
396,Dehloran,32.69,83.13,0,1.59,27
397,Krasnouralsk,58.36,64.68,32,6.62,85
398,Cayenne,4.94,75.2,75,7.96,100
399,Joshimath,30.57,37.99,76,1.25,100
400,Dudinka,69.41,49.56,80,11.99,99
401,Stourbridge,52.46,62.19,0,2.24,77
402,Namatanai,-3.66,79.71,80,10.76,100
403,Flinders,-34.58,57.2,40,33.33,35
404,Avigliana,45.08,68.0,75,3.36,94
405,Belmonte,40.36,60.18,0,3.38,82
406,Port Hedland,-20.31,75.2,0,17.22,11
407,Evensk,61.92,51.67,92,4.27,100
408,Sakleshpur,12.94,66.16,92,3.04,99
409,Haimen,31.87,92.94,0,7.74,67
410,Manta,45.1,62.34,0,3.49,86
411,Mtinko,-4.55,55.54,0,9.64,76
412,Shenjiamen,29.96,85.11,8,8.75,91
413,Solnechnyy,50.72,72.33,80,2.93,68
414,Katsuura,33.93,89.6,40,6.93,55
415,Sobolevo,54.43,61.57,88,9.19,93
416,Port-Gentil,-0.72,72.91,56,11.21,100
417,Ondjiva,-17.07,59.55,0,4.16,64
418,Nishihara,35.74,71.87,90,13.87,94
419,Okakarara,-20.59,48.21,0,4.27,71
420,Port Lincoln,-34.72,58.06,88,24.96,88
421,Ayorou,14.73,72.6,92,7.85,99
422,Nikolsk,59.53,58.74,88,6.96,97
423,Mount Juliet,36.2,79.99,1,4.05,74
424,Lasa,34.92,75.42,40,4.7,83
425,Kaeo,-35.1,59.19,36,4.94,83
426,Lusambo,-4.97,69.0,0,2.15,77
427,Vanimo,-2.67,82.23,20,6.29,100
428,San Jeronimo,-13.65,39.52,92,2.15,95
429,Kangaatsiaq,68.31,46.59,92,10.76,80
430,Pisco,-13.71,62.6,90,5.82,82
431,Stykkisholmur,65.08,47.31,48,18.37,97
432,Toora-Khem,52.47,57.52,0,2.82,70
433,Bambanglipuro,-7.95,82.99,0,7.29,52
434,Bad Freienwalde,52.79,63.48,0,3.36,59
435,Rio Grande,-32.03,51.27,0,9.31,93
436,Lac du Bonnet,50.25,57.52,0,2.59,88
437,Vao,59.1,62.11,88,10.65,66
438,Sibu,2.29,86.0,75,4.7,70
439,Kysyl-Syr,63.9,68.59,0,3.49,64
440,Burnham,-43.62,53.6,12,11.41,81
441,Magnitogorsk,53.42,71.6,20,4.47,64
442,Luwuk,-0.95,82.23,12,7.18,78
443,Praya,-8.71,82.4,40,14.99,61
444,Nipawin,53.36,69.8,90,8.05,73
445,Manicore,-5.81,73.72,8,1.92,97
446,Kungurtug,50.6,55.09,44,3.38,87
447,Mayor Pablo Lagerenza,-19.93,65.22,80,8.41,88
448,Empangeni,-28.75,55.77,0,7.29,85
449,San Cristobal,-0.39,51.8,75,16.11,87
450,Baiyin,36.55,68.0,75,4.47,77
451,Batemans Bay,-35.71,56.62,0,12.77,63
452,Ca Mau,9.18,86.19,64,11.43,81
453,Beloha,-25.17,65.31,92,8.41,95
454,Vardo,39.62,76.21,1,4.7,78
455,Chernyakhovsk,54.64,60.99,8,8.75,91
456,Bontang,0.12,85.65,0,10.2,85
457,Ozinki,51.2,68.55,64,4.16,95
458,Sitka,37.17,86.77,56,10.2,35
459,Southbridge,42.08,77.36,1,8.05,83
460,Westport,53.8,55.5,92,10.54,95
461,Gizo,31.8,77.94,20,6.93,73
462,Coari,-4.09,76.51,8,2.71,91
463,Luderitz,-26.65,49.38,0,7.18,89
464,Nouadhibou,20.93,69.8,75,12.75,94
465,Touros,-5.2,74.89,88,12.21,94
466,Haverfordwest,51.8,62.6,88,5.82,88
467,Oakdale,37.77,84.54,90,9.17,25
468,Port Blair,11.67,81.87,80,26.87,100
469,Srandakan,-7.94,82.99,0,7.29,52
470,Fort Nelson,58.81,73.4,75,4.7,38
471,Grajewo,53.65,56.17,0,7.74,86
472,Sibolga,1.74,76.06,20,1.7,84
473,Itarema,-2.92,76.83,8,13.89,83
474,Makat,47.65,76.06,56,4.72,46
475,Lagunas,-5.23,77.28,12,4.16,79
476,Roald,62.58,57.96,68,5.82,87
477,Le Vauclin,14.55,80.6,75,10.29,78
478,Makakilo City,21.35,83.75,20,9.17,48
479,Nuuk,64.17,48.2,75,2.24,76
480,Guaruja,-23.99,56.14,90,3.36,100
481,San Felipe,-32.75,50.0,90,10.29,87
482,Padang,-0.92,86.0,40,4.7,66
483,Lubbock,33.58,79.34,40,8.05,39
484,Adre,13.47,66.03,64,2.93,95
485,Amahai,-3.31,80.43,68,15.46,100
486,Ladnun,27.64,82.99,88,8.97,72
487,Ketchikan,55.34,68.68,1,4.7,60
488,Bachaquero,9.96,84.2,20,0.36,79
489,Aldan,58.61,67.06,8,3.38,62
490,Marzuq,14.4,63.91,20,3.04,78
491,Tautira,-17.73,82.4,40,13.87,69
492,Zeya,53.74,59.86,88,2.26,78
493,Byron Bay,-28.65,69.8,0,11.41,21
494,Moyale,3.52,62.29,32,6.62,88
495,Sorland,67.67,53.29,92,5.17,100
496,Eyl,7.98,77.59,0,18.37,78
497,Curvelo,-18.76,63.96,68,5.39,96
498,Newark,40.74,79.2,1,5.95,88
499,Komsomolskiy,67.55,53.74,92,9.75,87
500,Yar-Sale,66.83,56.22,80,15.46,82
501,Northam,51.04,60.8,92,8.05,87
502,Arrifes,37.77,69.8,75,5.82,68
503,Mariental,52.28,59.46,0,3.71,76
504,Jizan,16.89,86.0,40,3.36,70
505,Port Augusta,-32.49,59.0,90,11.41,54
506,La Llave,20.47,64.4,75,9.17,77
507,Matara,-13.74,39.52,92,2.15,95
508,Half Moon Bay,37.46,70.88,90,6.93,93
509,Menzelinsk,55.73,64.4,20,6.71,82
510,Adrar,27.87,87.8,0,10.29,18
511,Kununurra,-15.77,78.8,0,10.29,9
512,Beringovskiy,63.05,52.12,80,11.99,100
513,Back Mountain,41.34,73.08,1,3.27,78
514,Vila Franca do Campo,37.72,69.8,75,5.82,68
515,La Libertad,-16.38,57.2,0,3.36,20
516,Fayaoue,-20.65,70.66,8,8.97,100
517,Belyy Yar,53.6,62.6,0,2.24,59
518,Bahia de Caraquez,-0.6,73.4,75,11.41,88
519,Havoysund,71.0,46.4,75,11.41,87
520,Denpasar,-8.65,78.8,75,17.22,78
521,Isiro,2.77,66.57,64,1.92,98
522,Gamba,28.28,37.23,12,2.93,100
523,Cananeia,-25.01,59.82,64,2.93,100
524,Uarini,-2.98,70.57,20,2.26,97
525,Constitucion,23.99,66.2,90,5.82,68
526,Wilmington,39.75,77.43,1,6.93,78
527,Henties Bay,-22.12,52.26,0,9.42,100
528,Kuchaman,27.15,79.53,88,7.18,85
